CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40393093,RINCON SALVADORENO RESTAURANT,QUEENS,9215,149 STREET,11435,7185263220,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/4/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,25,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection
40393093,RINCON SALVADORENO RESTAURANT,QUEENS,9215,149 STREET,11435,7185263220,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/4/2019,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,25,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection
40393093,RINCON SALVADORENO RESTAURANT,QUEENS,9215,149 STREET,11435,7185263220,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/4/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,25,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection
40393243,BUDDY'S BURRITO & TACO BAR,BROOKLYN,260,COURT STREET,11231,7184888695,Tex-Mex,6/5/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,20,Z,6/5/2019,6/21/2019,Cycle Inspection / Re-inspection
40393243,BUDDY'S BURRITO & TACO BAR,BROOKLYN,260,COURT STREET,11231,7184888695,Tex-Mex,6/5/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,20,Z,6/5/2019,6/21/2019,Cycle Inspection / Re-inspection
40393243,BUDDY'S BURRITO & TACO BAR,BROOKLYN,260,COURT STREET,11231,7184888695,Tex-Mex,6/5/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,Z,6/5/2019,6/21/2019,Cycle Inspection / Re-inspection
40393563,GUN POST LANES SNACK BAR,BRONX,1215,EAST GUN HILL ROAD,10469,7188810331,American,6/1/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,6/1/2019,6/21/2019,Cycle Inspection / Re-inspection
40393563,GUN POST LANES SNACK BAR,BRONX,1215,EAST GUN HILL ROAD,10469,7188810331,American,6/1/2019,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,13,A,6/1/2019,6/21/2019,Cycle Inspection / Re-inspection
40393563,GUN POST LANES SNACK BAR,BRONX,1215,EAST GUN HILL ROAD,10469,7188810331,American,6/1/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,6/1/2019,6/21/2019,Cycle Inspection / Re-inspection
40393977,TONY'S PIZZA II,BROOKLYN,1107,RUTLAND ROAD,11212,7189538163,Pizza/Italian,6/11/2019,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,19,Z,6/11/2019,6/21/2019,Cycle Inspection / Re-inspection
40393977,TONY'S PIZZA II,BROOKLYN,1107,RUTLAND ROAD,11212,7189538163,Pizza/Italian,6/11/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,19,Z,6/11/2019,6/21/2019,Cycle Inspection / Re-inspection
40393977,TONY'S PIZZA II,BROOKLYN,1107,RUTLAND ROAD,11212,7189538163,Pizza/Italian,6/11/2019,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,19,Z,6/11/2019,6/21/2019,Cycle Inspection / Re-inspection
40393977,TONY'S PIZZA II,BROOKLYN,1107,RUTLAND ROAD,11212,7189538163,Pizza/Italian,6/11/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19,Z,6/11/2019,6/21/2019,Cycle Inspection / Re-inspection
40394007,NIAGARA/ LOVERS OF TODAY/ SISTER MIDNIGHT,MANHATTAN,112,AVENUE A,10009,2124209517,American,6/12/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,6/12/2019,6/21/2019,Cycle Inspection / Initial Inspection
40394007,NIAGARA/ LOVERS OF TODAY/ SISTER MIDNIGHT,MANHATTAN,112,AVENUE A,10009,2124209517,American,6/12/2019,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,10,A,6/12/2019,6/21/2019,Cycle Inspection / Initial Inspection
40394007,NIAGARA/ LOVERS OF TODAY/ SISTER MIDNIGHT,MANHATTAN,112,AVENUE A,10009,2124209517,American,6/12/2019,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,10,A,6/12/2019,6/21/2019,Cycle Inspection / Initial Inspection
40395122,GINO'S PIZZERIA RESTAURANT,MANHATTAN,345,EAST   83 STREET,10028,2127175336,Pizza,6/18/2019,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,10,A,6/18/2019,6/21/2019,Cycle Inspection / Re-inspection
40395343,FELIX,MANHATTAN,340,WEST BROADWAY,10013,2124310021,French,6/15/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,38,Z,6/15/2019,6/21/2019,Cycle Inspection / Re-inspection
40395343,FELIX,MANHATTAN,340,WEST BROADWAY,10013,2124310021,French,6/15/2019,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,38,Z,6/15/2019,6/21/2019,Cycle Inspection / Re-inspection
40395343,FELIX,MANHATTAN,340,WEST BROADWAY,10013,2124310021,French,6/15/2019,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,38,Z,6/15/2019,6/21/2019,Cycle Inspection / Re-inspection
40395343,FELIX,MANHATTAN,340,WEST BROADWAY,10013,2124310021,French,6/15/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,38,Z,6/15/2019,6/21/2019,Cycle Inspection / Re-inspection
40395343,FELIX,MANHATTAN,340,WEST BROADWAY,10013,2124310021,French,6/15/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,38,Z,6/15/2019,6/21/2019,Cycle Inspection / Re-inspection
40395343,FELIX,MANHATTAN,340,WEST BROADWAY,10013,2124310021,French,6/15/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,38,Z,6/15/2019,6/21/2019,Cycle Inspection / Re-inspection
40395906,ROSA'S PIZZA & PASTA,QUEENS,7559,METROPOLITAN AVENUE,11379,7188944707,Pizza/Italian,6/19/2019,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,11,A,6/19/2019,6/21/2019,Cycle Inspection / Re-inspection
40395906,ROSA'S PIZZA & PASTA,QUEENS,7559,METROPOLITAN AVENUE,11379,7188944707,Pizza/Italian,6/19/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,6/19/2019,6/21/2019,Cycle Inspection / Re-inspection
40396159,CARMINE'S,MANHATTAN,200,WEST   44 STREET,10036,2122213800,Italian,6/6/2019,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,11,A,6/6/2019,6/21/2019,Cycle Inspection / Initial Inspection
40396159,CARMINE'S,MANHATTAN,200,WEST   44 STREET,10036,2122213800,Italian,6/6/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,6/6/2019,6/21/2019,Cycle Inspection / Initial Inspection
40396231,DELMONICO GOURMET,MANHATTAN,375,LEXINGTON AVENUE,10017,2126610150,American,6/10/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,12,A,6/10/2019,6/21/2019,Cycle Inspection / Re-inspection
40396231,DELMONICO GOURMET,MANHATTAN,375,LEXINGTON AVENUE,10017,2126610150,American,6/10/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,6/10/2019,6/21/2019,Cycle Inspection / Re-inspection
40396231,DELMONICO GOURMET,MANHATTAN,375,LEXINGTON AVENUE,10017,2126610150,American,6/10/2019,Violations were cited in the following area(s).,22F,,Not Applicable,12,A,6/10/2019,6/21/2019,Cycle Inspection / Re-inspection
40396231,DELMONICO GOURMET,MANHATTAN,375,LEXINGTON AVENUE,10017,2126610150,American,6/10/2019,Violations were cited in the following area(s).,22G,,Not Applicable,12,A,6/10/2019,6/21/2019,Cycle Inspection / Re-inspection
40397056,SHARMEL CATERERS,QUEENS,728,EMPIRE AVENUE,11691,7183273575,Jewish/Kosher,6/17/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,6/17/2019,6/21/2019,Cycle Inspection / Initial Inspection
40397056,SHARMEL CATERERS,QUEENS,728,EMPIRE AVENUE,11691,7183273575,Jewish/Kosher,6/17/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,6/17/2019,6/21/2019,Cycle Inspection / Initial Inspection
40397056,SHARMEL CATERERS,QUEENS,728,EMPIRE AVENUE,11691,7183273575,Jewish/Kosher,6/17/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,6/17/2019,6/21/2019,Cycle Inspection / Initial Inspection
40397219,WHITE CASTLE,BRONX,931,WESTCHESTER AVENUE,10459,7185422101,Hamburgers,6/17/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,6/17/2019,6/21/2019,Cycle Inspection / Re-inspection
40397219,WHITE CASTLE,BRONX,931,WESTCHESTER AVENUE,10459,7185422101,Hamburgers,6/17/2019,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,10,A,6/17/2019,6/21/2019,Cycle Inspection / Re-inspection
40397219,WHITE CASTLE,BRONX,931,WESTCHESTER AVENUE,10459,7185422101,Hamburgers,6/17/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,6/17/2019,6/21/2019,Cycle Inspection / Re-inspection
40397676,MORTON'S THE STEAKHOUSE,MANHATTAN,5,EAST   45 STREET,10017,2129723315,American,6/12/2019,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,13,A,6/12/2019,6/21/2019,Cycle Inspection / Initial Inspection
40397676,MORTON'S THE STEAKHOUSE,MANHATTAN,5,EAST   45 STREET,10017,2129723315,American,6/12/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,6/12/2019,6/21/2019,Cycle Inspection / Initial Inspection
40397723,WHITE CASTLE,STATEN ISLAND,2221,HYLAN BOULEVARD,10306,7189802840,Hamburgers,6/19/2019,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,10,A,6/19/2019,6/21/2019,Cycle Inspection / Initial Inspection
40397723,WHITE CASTLE,STATEN ISLAND,2221,HYLAN BOULEVARD,10306,7189802840,Hamburgers,6/19/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,6/19/2019,6/21/2019,Cycle Inspection / Initial Inspection
40397810,OLYMPIA,QUEENS,2344,STEINWAY STREET,11105,7182784460,American,6/8/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,6/8/2019,6/21/2019,Cycle Inspection / Initial Inspection
40397810,OLYMPIA,QUEENS,2344,STEINWAY STREET,11105,7182784460,American,6/8/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,6/8/2019,6/21/2019,Cycle Inspection / Initial Inspection
40397810,OLYMPIA,QUEENS,2344,STEINWAY STREET,11105,7182784460,American,6/8/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,6/8/2019,6/21/2019,Cycle Inspection / Initial Inspection
40398434,CURRY IN A HURRY,MANHATTAN,119,LEXINGTON AVENUE,10016,2126830900,Indian,6/4/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection
40398434,CURRY IN A HURRY,MANHATTAN,119,LEXINGTON AVENUE,10016,2126830900,Indian,6/4/2019,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection
40398434,CURRY IN A HURRY,MANHATTAN,119,LEXINGTON AVENUE,10016,2126830900,Indian,6/4/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection
40398689,CAFFEE EXPRESS,QUEENS,2551,STEINWAY STREET,11103,7182745980,CafÃ©/Coffee/Tea,6/11/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,6/11/2019,6/21/2019,Cycle Inspection / Re-inspection
40398689,CAFFEE EXPRESS,QUEENS,2551,STEINWAY STREET,11103,7182745980,CafÃ©/Coffee/Tea,6/11/2019,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,9,A,6/11/2019,6/21/2019,Cycle Inspection / Re-inspection
40398689,CAFFEE EXPRESS,QUEENS,2551,STEINWAY STREET,11103,7182745980,CafÃ©/Coffee/Tea,6/11/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,6/11/2019,6/21/2019,Cycle Inspection / Re-inspection
40399217,EL REY MEXICAN RESTAURANT,QUEENS,2521,ASTORIA BOULEVARD,11102,7185452292,Mexican,6/10/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,6/10/2019,6/21/2019,Cycle Inspection / Re-inspection
40399217,EL REY MEXICAN RESTAURANT,QUEENS,2521,ASTORIA BOULEVARD,11102,7185452292,Mexican,6/10/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,6/10/2019,6/21/2019,Cycle Inspection / Re-inspection
40399217,EL REY MEXICAN RESTAURANT,QUEENS,2521,ASTORIA BOULEVARD,11102,7185452292,Mexican,6/10/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,6/10/2019,6/21/2019,Cycle Inspection / Re-inspection
40399217,EL REY MEXICAN RESTAURANT,QUEENS,2521,ASTORIA BOULEVARD,11102,7185452292,Mexican,6/10/2019,Violations were cited in the following area(s).,22G,,Not Applicable,9,A,6/10/2019,6/21/2019,Cycle Inspection / Re-inspection
40399472,OLIVE GARDEN,MANHATTAN,2,TIMES SQUARE,10036,2123333254,Italian,6/17/2019,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,20,Z,6/17/2019,6/21/2019,Cycle Inspection / Re-inspection
40399472,OLIVE GARDEN,MANHATTAN,2,TIMES SQUARE,10036,2123333254,Italian,6/17/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,20,Z,6/17/2019,6/21/2019,Cycle Inspection / Re-inspection
40399472,OLIVE GARDEN,MANHATTAN,2,TIMES SQUARE,10036,2123333254,Italian,6/17/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,Z,6/17/2019,6/21/2019,Cycle Inspection / Re-inspection
40399472,OLIVE GARDEN,MANHATTAN,2,TIMES SQUARE,10036,2123333254,Italian,6/17/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,20,Z,6/17/2019,6/21/2019,Cycle Inspection / Re-inspection
40399523,FOLEY'S N.Y. PUB AND RESTAURANT,MANHATTAN,18,WEST   33 STREET,10001,2122900080,Irish,6/7/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,48,Z,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection
40399523,FOLEY'S N.Y. PUB AND RESTAURANT,MANHATTAN,18,WEST   33 STREET,10001,2122900080,Irish,6/7/2019,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,48,Z,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection
40399523,FOLEY'S N.Y. PUB AND RESTAURANT,MANHATTAN,18,WEST   33 STREET,10001,2122900080,Irish,6/7/2019,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,48,Z,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection
40399523,FOLEY'S N.Y. PUB AND RESTAURANT,MANHATTAN,18,WEST   33 STREET,10001,2122900080,Irish,6/7/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,48,Z,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection
40399523,FOLEY'S N.Y. PUB AND RESTAURANT,MANHATTAN,18,WEST   33 STREET,10001,2122900080,Irish,6/7/2019,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,48,Z,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection
40399523,FOLEY'S N.Y. PUB AND RESTAURANT,MANHATTAN,18,WEST   33 STREET,10001,2122900080,Irish,6/7/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,48,Z,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection
40399523,FOLEY'S N.Y. PUB AND RESTAURANT,MANHATTAN,18,WEST   33 STREET,10001,2122900080,Irish,6/7/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,48,Z,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection
40399523,FOLEY'S N.Y. PUB AND RESTAURANT,MANHATTAN,18,WEST   33 STREET,10001,2122900080,Irish,6/7/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,48,Z,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection
40399770,MICHAEL'S PASTRY SHOP,BROOKLYN,2923,AVENUE R,11229,7183769200,Bakery,6/12/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,6/12/2019,6/21/2019,Cycle Inspection / Re-inspection
40399770,MICHAEL'S PASTRY SHOP,BROOKLYN,2923,AVENUE R,11229,7183769200,Bakery,6/12/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,6/12/2019,6/21/2019,Cycle Inspection / Re-inspection
40399817,NOVITA,MANHATTAN,102,EAST   22 STREET,10010,2126772222,Italian,6/11/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,6/11/2019,6/21/2019,Cycle Inspection / Initial Inspection
40399817,NOVITA,MANHATTAN,102,EAST   22 STREET,10010,2126772222,Italian,6/11/2019,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,7,A,6/11/2019,6/21/2019,Cycle Inspection / Initial Inspection
40399867,DOMINO'S,MANHATTAN,181,CHURCH STREET,10007,2125668888,Pizza,6/3/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,6/3/2019,6/21/2019,Cycle Inspection / Initial Inspection
40400366,VIN ET FLEURS,MANHATTAN,69,THOMPSON STREET,10012,2129665417,French,6/12/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,38,Z,6/12/2019,6/21/2019,Cycle Inspection / Re-inspection
40400366,VIN ET FLEURS,MANHATTAN,69,THOMPSON STREET,10012,2129665417,French,6/12/2019,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,38,Z,6/12/2019,6/21/2019,Cycle Inspection / Re-inspection
40400366,VIN ET FLEURS,MANHATTAN,69,THOMPSON STREET,10012,2129665417,French,6/12/2019,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,38,Z,6/12/2019,6/21/2019,Cycle Inspection / Re-inspection
40400366,VIN ET FLEURS,MANHATTAN,69,THOMPSON STREET,10012,2129665417,French,6/12/2019,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,38,Z,6/12/2019,6/21/2019,Cycle Inspection / Re-inspection
40400366,VIN ET FLEURS,MANHATTAN,69,THOMPSON STREET,10012,2129665417,French,6/12/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,38,Z,6/12/2019,6/21/2019,Cycle Inspection / Re-inspection
40400366,VIN ET FLEURS,MANHATTAN,69,THOMPSON STREET,10012,2129665417,French,6/12/2019,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,38,Z,6/12/2019,6/21/2019,Cycle Inspection / Re-inspection
40400556,LEGEND'S PUB,STATEN ISLAND,1975,VICTORY BOULEVARD,10314,7184421320,American,6/18/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,5,A,6/18/2019,6/21/2019,Cycle Inspection / Re-inspection
40401000,DOWNTOWN BAKERY II MEXICAN FOOD,MANHATTAN,69,1 AVENUE,10003,2122541757,Mexican,6/8/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,20,Z,6/8/2019,6/21/2019,Cycle Inspection / Re-inspection
40401000,DOWNTOWN BAKERY II MEXICAN FOOD,MANHATTAN,69,1 AVENUE,10003,2122541757,Mexican,6/8/2019,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,20,Z,6/8/2019,6/21/2019,Cycle Inspection / Re-inspection
40401000,DOWNTOWN BAKERY II MEXICAN FOOD,MANHATTAN,69,1 AVENUE,10003,2122541757,Mexican,6/8/2019,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,20,Z,6/8/2019,6/21/2019,Cycle Inspection / Re-inspection
40401000,DOWNTOWN BAKERY II MEXICAN FOOD,MANHATTAN,69,1 AVENUE,10003,2122541757,Mexican,6/8/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,Z,6/8/2019,6/21/2019,Cycle Inspection / Re-inspection
