CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,address_full
41586332,OLGA'S PIZZA,MANHATTAN,3409,BROADWAY,10031.0,2122347878,Pizza,6/13/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,6/13/2019,6/21/2019,Cycle Inspection / Re-inspection,3409 BROADWAY 10031.0
41588813,6321 YUAN BAO,BROOKLYN,6321,8 AVENUE,11220.0,7188361663,Chinese,6/6/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,35,Z,6/6/2019,6/21/2019,Cycle Inspection / Re-inspection,6321 8 AVENUE 11220.0
41588813,6321 YUAN BAO,BROOKLYN,6321,8 AVENUE,11220.0,7188361663,Chinese,6/6/2019,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,35,Z,6/6/2019,6/21/2019,Cycle Inspection / Re-inspection,6321 8 AVENUE 11220.0
41588813,6321 YUAN BAO,BROOKLYN,6321,8 AVENUE,11220.0,7188361663,Chinese,6/6/2019,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,35,Z,6/6/2019,6/21/2019,Cycle Inspection / Re-inspection,6321 8 AVENUE 11220.0
41588813,6321 YUAN BAO,BROOKLYN,6321,8 AVENUE,11220.0,7188361663,Chinese,6/6/2019,Violations were cited in the following area(s).,05C,Food contact surface improperly constructed or located. Unacceptable material used.,Critical,35,Z,6/6/2019,6/21/2019,Cycle Inspection / Re-inspection,6321 8 AVENUE 11220.0
41588813,6321 YUAN BAO,BROOKLYN,6321,8 AVENUE,11220.0,7188361663,Chinese,6/6/2019,Violations were cited in the following area(s).,22G,,Not Applicable,35,Z,6/6/2019,6/21/2019,Cycle Inspection / Re-inspection,6321 8 AVENUE 11220.0
41589248,POTBELLY SANDWICH WORKS,MANHATTAN,101,MAIDEN LANE,10038.0,6462894201,Sandwiches,6/13/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,22,Z,6/13/2019,6/21/2019,Cycle Inspection / Re-inspection,101 MAIDEN LANE 10038.0
41589248,POTBELLY SANDWICH WORKS,MANHATTAN,101,MAIDEN LANE,10038.0,6462894201,Sandwiches,6/13/2019,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,22,Z,6/13/2019,6/21/2019,Cycle Inspection / Re-inspection,101 MAIDEN LANE 10038.0
41589248,POTBELLY SANDWICH WORKS,MANHATTAN,101,MAIDEN LANE,10038.0,6462894201,Sandwiches,6/13/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,22,Z,6/13/2019,6/21/2019,Cycle Inspection / Re-inspection,101 MAIDEN LANE 10038.0
41589290,CAFE 1853,BRONX,4513,MANHATTAN COLLEGE PARKWAY,10471.0,7188627573,American,6/12/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,6/12/2019,6/21/2019,Cycle Inspection / Initial Inspection,4513 MANHATTAN COLLEGE PARKWAY 10471.0
41589290,CAFE 1853,BRONX,4513,MANHATTAN COLLEGE PARKWAY,10471.0,7188627573,American,6/12/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,6/12/2019,6/21/2019,Cycle Inspection / Initial Inspection,4513 MANHATTAN COLLEGE PARKWAY 10471.0
41590515,CHANG YU RESTAURANT,BROOKLYN,334,CENTRAL AVENUE,11221.0,7184527032,Chinese,6/14/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,6/14/2019,6/21/2019,Cycle Inspection / Initial Inspection,334 CENTRAL AVENUE 11221.0
41590515,CHANG YU RESTAURANT,BROOKLYN,334,CENTRAL AVENUE,11221.0,7184527032,Chinese,6/14/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,6/14/2019,6/21/2019,Cycle Inspection / Initial Inspection,334 CENTRAL AVENUE 11221.0
41591358,MIDTOWN EXPRESS,QUEENS,11000,ROCKAWAY BOULEVARD,11420.0,7182153308,Sandwiches/Salads/Mixed Buffet,6/3/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,6/3/2019,6/21/2019,Cycle Inspection / Initial Inspection,11000 ROCKAWAY BOULEVARD 11420.0
41591363,QUEENS BURGER,QUEENS,11000,ROCKAWAY BOULEVARD,11420.0,7182153308,American,6/10/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,2,A,6/10/2019,6/21/2019,Cycle Inspection / Initial Inspection,11000 ROCKAWAY BOULEVARD 11420.0
41591603,ARIS POLLOS A LA BRASA,BROOKLYN,691,KNICKERBOCKER AVENUE,11221.0,7183819400,Spanish,6/13/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,23,Z,6/13/2019,6/21/2019,Cycle Inspection / Re-inspection,691 KNICKERBOCKER AVENUE 11221.0
41591603,ARIS POLLOS A LA BRASA,BROOKLYN,691,KNICKERBOCKER AVENUE,11221.0,7183819400,Spanish,6/13/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,23,Z,6/13/2019,6/21/2019,Cycle Inspection / Re-inspection,691 KNICKERBOCKER AVENUE 11221.0
41591603,ARIS POLLOS A LA BRASA,BROOKLYN,691,KNICKERBOCKER AVENUE,11221.0,7183819400,Spanish,6/13/2019,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,23,Z,6/13/2019,6/21/2019,Cycle Inspection / Re-inspection,691 KNICKERBOCKER AVENUE 11221.0
41593277,ELENA'S RESTUARANT,BRONX,5,WEST TREMONT AVENUE,10453.0,9177377100,Mexican,6/13/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8,A,6/13/2019,6/21/2019,Cycle Inspection / Re-inspection,5 WEST TREMONT AVENUE 10453.0
41593277,ELENA'S RESTUARANT,BRONX,5,WEST TREMONT AVENUE,10453.0,9177377100,Mexican,6/13/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,6/13/2019,6/21/2019,Cycle Inspection / Re-inspection,5 WEST TREMONT AVENUE 10453.0
41593479,SKY FOOD COURT(SKY MALL),QUEENS,4024,COLLEGE POINT BOULEVARD,11354.0,7189396688,Chinese,6/5/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,11,A,6/5/2019,6/21/2019,Cycle Inspection / Re-inspection,4024 COLLEGE POINT BOULEVARD 11354.0
41593479,SKY FOOD COURT(SKY MALL),QUEENS,4024,COLLEGE POINT BOULEVARD,11354.0,7189396688,Chinese,6/5/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,6/5/2019,6/21/2019,Cycle Inspection / Re-inspection,4024 COLLEGE POINT BOULEVARD 11354.0
41594758,LAVENDER LAKE,BROOKLYN,383,CARROLL STREET,11231.0,3477992155,American,6/12/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,6/12/2019,6/21/2019,Cycle Inspection / Initial Inspection,383 CARROLL STREET 11231.0
41594758,LAVENDER LAKE,BROOKLYN,383,CARROLL STREET,11231.0,3477992155,American,6/12/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,6/12/2019,6/21/2019,Cycle Inspection / Initial Inspection,383 CARROLL STREET 11231.0
41594758,LAVENDER LAKE,BROOKLYN,383,CARROLL STREET,11231.0,3477992155,American,6/12/2019,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,13,A,6/12/2019,6/21/2019,Cycle Inspection / Initial Inspection,383 CARROLL STREET 11231.0
41595076,BAY TERRACE POOL & TENNIS CENTER,QUEENS,21200,23 AVENUE,11360.0,7184236111,American,6/11/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4,A,6/11/2019,6/21/2019,Cycle Inspection / Initial Inspection,21200 23 AVENUE 11360.0
41595076,BAY TERRACE POOL & TENNIS CENTER,QUEENS,21200,23 AVENUE,11360.0,7184236111,American,6/11/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,6/11/2019,6/21/2019,Cycle Inspection / Initial Inspection,21200 23 AVENUE 11360.0
41595314,PITA GRILL,MANHATTAN,1083,2 AVENUE,10022.0,2127501122,Jewish/Kosher,6/3/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,A,6/3/2019,6/21/2019,Cycle Inspection / Re-inspection,1083 2 AVENUE 10022.0
41595314,PITA GRILL,MANHATTAN,1083,2 AVENUE,10022.0,2127501122,Jewish/Kosher,6/3/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,6/3/2019,6/21/2019,Cycle Inspection / Re-inspection,1083 2 AVENUE 10022.0
41595576,CHINA KING EXPRESS,QUEENS,14613,ARCHER AVENUE,11435.0,7182062899,Chinese,6/6/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,18,Z,6/6/2019,6/21/2019,Cycle Inspection / Re-inspection,14613 ARCHER AVENUE 11435.0
41595576,CHINA KING EXPRESS,QUEENS,14613,ARCHER AVENUE,11435.0,7182062899,Chinese,6/6/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,18,Z,6/6/2019,6/21/2019,Cycle Inspection / Re-inspection,14613 ARCHER AVENUE 11435.0
41595576,CHINA KING EXPRESS,QUEENS,14613,ARCHER AVENUE,11435.0,7182062899,Chinese,6/6/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18,Z,6/6/2019,6/21/2019,Cycle Inspection / Re-inspection,14613 ARCHER AVENUE 11435.0
41595576,CHINA KING EXPRESS,QUEENS,14613,ARCHER AVENUE,11435.0,7182062899,Chinese,6/6/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,18,Z,6/6/2019,6/21/2019,Cycle Inspection / Re-inspection,14613 ARCHER AVENUE 11435.0
41596546,MARGON RESTAURANT,MANHATTAN,136,WEST   46 STREET,10036.0,2123545013,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/3/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,13,A,6/3/2019,6/21/2019,Cycle Inspection / Re-inspection,136 WEST   46 STREET 10036.0
41596546,MARGON RESTAURANT,MANHATTAN,136,WEST   46 STREET,10036.0,2123545013,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/3/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,6/3/2019,6/21/2019,Cycle Inspection / Re-inspection,136 WEST   46 STREET 10036.0
41596546,MARGON RESTAURANT,MANHATTAN,136,WEST   46 STREET,10036.0,2123545013,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/3/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,6/3/2019,6/21/2019,Cycle Inspection / Re-inspection,136 WEST   46 STREET 10036.0
41596546,MARGON RESTAURANT,MANHATTAN,136,WEST   46 STREET,10036.0,2123545013,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/3/2019,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13,A,6/3/2019,6/21/2019,Cycle Inspection / Re-inspection,136 WEST   46 STREET 10036.0
41597047,Z-TWO DINER & LOUNGE,STATEN ISLAND,2925,VETERANS ROAD WEST,10309.0,7183566800,American,6/11/2019,Violations were cited in the following area(s).,04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,Critical,8,A,6/11/2019,6/21/2019,Cycle Inspection / Re-inspection,2925 VETERANS ROAD WEST 10309.0
41597047,Z-TWO DINER & LOUNGE,STATEN ISLAND,2925,VETERANS ROAD WEST,10309.0,7183566800,American,6/11/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,6/11/2019,6/21/2019,Cycle Inspection / Re-inspection,2925 VETERANS ROAD WEST 10309.0
41597250,OXBOW TAVERN,MANHATTAN,240,COLUMBUS AVENUE,10023.0,6464904075,American,6/8/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9,A,6/8/2019,6/21/2019,Cycle Inspection / Initial Inspection,240 COLUMBUS AVENUE 10023.0
41597250,OXBOW TAVERN,MANHATTAN,240,COLUMBUS AVENUE,10023.0,6464904075,American,6/8/2019,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,9,A,6/8/2019,6/21/2019,Cycle Inspection / Initial Inspection,240 COLUMBUS AVENUE 10023.0
41600011,CAFE ON 5TH/STERLING AFFAIR,MANHATTAN,1216,5 AVENUE,10029.0,2128227229,American,6/6/2019,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,11,A,6/6/2019,6/21/2019,Cycle Inspection / Initial Inspection,1216 5 AVENUE 10029.0
41600011,CAFE ON 5TH/STERLING AFFAIR,MANHATTAN,1216,5 AVENUE,10029.0,2128227229,American,6/6/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,6/6/2019,6/21/2019,Cycle Inspection / Initial Inspection,1216 5 AVENUE 10029.0
41600011,CAFE ON 5TH/STERLING AFFAIR,MANHATTAN,1216,5 AVENUE,10029.0,2128227229,American,6/6/2019,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,11,A,6/6/2019,6/21/2019,Cycle Inspection / Initial Inspection,1216 5 AVENUE 10029.0
41600159,JUMBO'S HAMBURGERS,MANHATTAN,274,WEST  145 STREET,10039.0,2124915444,Hamburgers,6/13/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,39,Z,6/13/2019,6/21/2019,Cycle Inspection / Re-inspection,274 WEST  145 STREET 10039.0
41600159,JUMBO'S HAMBURGERS,MANHATTAN,274,WEST  145 STREET,10039.0,2124915444,Hamburgers,6/13/2019,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,39,Z,6/13/2019,6/21/2019,Cycle Inspection / Re-inspection,274 WEST  145 STREET 10039.0
41600159,JUMBO'S HAMBURGERS,MANHATTAN,274,WEST  145 STREET,10039.0,2124915444,Hamburgers,6/13/2019,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,39,Z,6/13/2019,6/21/2019,Cycle Inspection / Re-inspection,274 WEST  145 STREET 10039.0
41600159,JUMBO'S HAMBURGERS,MANHATTAN,274,WEST  145 STREET,10039.0,2124915444,Hamburgers,6/13/2019,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,39,Z,6/13/2019,6/21/2019,Cycle Inspection / Re-inspection,274 WEST  145 STREET 10039.0
41600159,JUMBO'S HAMBURGERS,MANHATTAN,274,WEST  145 STREET,10039.0,2124915444,Hamburgers,6/13/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,39,Z,6/13/2019,6/21/2019,Cycle Inspection / Re-inspection,274 WEST  145 STREET 10039.0
41600522,LUIGI PIZZERIA & RISTORANTE,MANHATTAN,1701,1 AVENUE,10128.0,2124101910,Pizza,6/6/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,27,Z,6/6/2019,6/21/2019,Cycle Inspection / Re-inspection,1701 1 AVENUE 10128.0
41600522,LUIGI PIZZERIA & RISTORANTE,MANHATTAN,1701,1 AVENUE,10128.0,2124101910,Pizza,6/6/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,27,Z,6/6/2019,6/21/2019,Cycle Inspection / Re-inspection,1701 1 AVENUE 10128.0
41600522,LUIGI PIZZERIA & RISTORANTE,MANHATTAN,1701,1 AVENUE,10128.0,2124101910,Pizza,6/6/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,27,Z,6/6/2019,6/21/2019,Cycle Inspection / Re-inspection,1701 1 AVENUE 10128.0
41600522,LUIGI PIZZERIA & RISTORANTE,MANHATTAN,1701,1 AVENUE,10128.0,2124101910,Pizza,6/6/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,27,Z,6/6/2019,6/21/2019,Cycle Inspection / Re-inspection,1701 1 AVENUE 10128.0
41600522,LUIGI PIZZERIA & RISTORANTE,MANHATTAN,1701,1 AVENUE,10128.0,2124101910,Pizza,6/6/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27,Z,6/6/2019,6/21/2019,Cycle Inspection / Re-inspection,1701 1 AVENUE 10128.0
41601321,KATOU FINE RESTAURANT,BROOKLYN,5012,AVENUE M,11234.0,7186180920,Creole,6/11/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,6/11/2019,6/21/2019,Cycle Inspection / Re-inspection,5012 AVENUE M 11234.0
41601321,KATOU FINE RESTAURANT,BROOKLYN,5012,AVENUE M,11234.0,7186180920,Creole,6/11/2019,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,13,A,6/11/2019,6/21/2019,Cycle Inspection / Re-inspection,5012 AVENUE M 11234.0
41601321,KATOU FINE RESTAURANT,BROOKLYN,5012,AVENUE M,11234.0,7186180920,Creole,6/11/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,6/11/2019,6/21/2019,Cycle Inspection / Re-inspection,5012 AVENUE M 11234.0
41601321,KATOU FINE RESTAURANT,BROOKLYN,5012,AVENUE M,11234.0,7186180920,Creole,6/11/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,6/11/2019,6/21/2019,Cycle Inspection / Re-inspection,5012 AVENUE M 11234.0
41603543,HARRY'S ITALIAN PIZZA PARLOR,MANHATTAN,30,ROCKEFELLER PLAZA,10112.0,2122181450,Italian,6/14/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,6/14/2019,6/21/2019,Cycle Inspection / Initial Inspection,30 ROCKEFELLER PLAZA 10112.0
41603543,HARRY'S ITALIAN PIZZA PARLOR,MANHATTAN,30,ROCKEFELLER PLAZA,10112.0,2122181450,Italian,6/14/2019,Violations were cited in the following area(s).,02I,Food prepared from ingredients at ambient temperature not cooled to 41Âº F or below within 4 hours.,Critical,12,A,6/14/2019,6/21/2019,Cycle Inspection / Initial Inspection,30 ROCKEFELLER PLAZA 10112.0
41605053,BUKHARA GRILL,MANHATTAN,217,EAST   49 STREET,10017.0,2128882839,Indian,6/19/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,26,Z,6/19/2019,6/21/2019,Cycle Inspection / Re-inspection,217 EAST   49 STREET 10017.0
41605053,BUKHARA GRILL,MANHATTAN,217,EAST   49 STREET,10017.0,2128882839,Indian,6/19/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,26,Z,6/19/2019,6/21/2019,Cycle Inspection / Re-inspection,217 EAST   49 STREET 10017.0
41605053,BUKHARA GRILL,MANHATTAN,217,EAST   49 STREET,10017.0,2128882839,Indian,6/19/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,26,Z,6/19/2019,6/21/2019,Cycle Inspection / Re-inspection,217 EAST   49 STREET 10017.0
41605053,BUKHARA GRILL,MANHATTAN,217,EAST   49 STREET,10017.0,2128882839,Indian,6/19/2019,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,26,Z,6/19/2019,6/21/2019,Cycle Inspection / Re-inspection,217 EAST   49 STREET 10017.0
41605053,BUKHARA GRILL,MANHATTAN,217,EAST   49 STREET,10017.0,2128882839,Indian,6/19/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,26,Z,6/19/2019,6/21/2019,Cycle Inspection / Re-inspection,217 EAST   49 STREET 10017.0
41605053,BUKHARA GRILL,MANHATTAN,217,EAST   49 STREET,10017.0,2128882839,Indian,6/19/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,26,Z,6/19/2019,6/21/2019,Cycle Inspection / Re-inspection,217 EAST   49 STREET 10017.0
41605053,BUKHARA GRILL,MANHATTAN,217,EAST   49 STREET,10017.0,2128882839,Indian,6/19/2019,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,26,Z,6/19/2019,6/21/2019,Cycle Inspection / Re-inspection,217 EAST   49 STREET 10017.0
41605297,DELIZIA 92,MANHATTAN,1762,2 AVENUE,10128.0,2129963720,Pizza/Italian,6/18/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,7,A,6/18/2019,6/21/2019,Cycle Inspection / Initial Inspection,1762 2 AVENUE 10128.0
41606045,CROWN FRIED CHICKEN,BROOKLYN,2801,MERMAID AVENUE,11224.0,7189962856,American,6/13/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,6/13/2019,6/21/2019,Cycle Inspection / Re-inspection,2801 MERMAID AVENUE 11224.0
41607269,THE SOCIAL BUTTERFLY,BROOKLYN,857,ATLANTIC AVENUE,11238.0,3477992064,American,6/14/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9,A,6/14/2019,6/21/2019,Cycle Inspection / Re-inspection,857 ATLANTIC AVENUE 11238.0
41607269,THE SOCIAL BUTTERFLY,BROOKLYN,857,ATLANTIC AVENUE,11238.0,3477992064,American,6/14/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,6/14/2019,6/21/2019,Cycle Inspection / Re-inspection,857 ATLANTIC AVENUE 11238.0
41607795,HO'BRAH,BROOKLYN,8618,3 AVENUE,11209.0,7186808226,Mexican,6/10/2019,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,8,A,6/10/2019,6/21/2019,Cycle Inspection / Re-inspection,8618 3 AVENUE 11209.0
41607795,HO'BRAH,BROOKLYN,8618,3 AVENUE,11209.0,7186808226,Mexican,6/10/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,6/10/2019,6/21/2019,Cycle Inspection / Re-inspection,8618 3 AVENUE 11209.0
41608854,GAL BI MA EUL,QUEENS,19403,NORTHERN BOULEVARD,11358.0,7188192171,Korean,6/18/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,6/18/2019,6/21/2019,Cycle Inspection / Re-inspection,19403 NORTHERN BOULEVARD 11358.0
41608854,GAL BI MA EUL,QUEENS,19403,NORTHERN BOULEVARD,11358.0,7188192171,Korean,6/18/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,6/18/2019,6/21/2019,Cycle Inspection / Re-inspection,19403 NORTHERN BOULEVARD 11358.0
